"Date","S_Level_ft","N_level_ft","S_level_m","N_level_m","S_area_m2","N_area_m2","S_vol_m3","N_vol_m3","Total_vol_m3"
"1973-01-01",4198.65,4197.3,1279.74852,1279.33704,2338777528.76976,1335294204.28518,10853221005.2197,5825930434.35415,16679151439.5739
"1973-02-01",4198.95,4197.7,1279.83996,1279.45896,2372461666.48954,1368184110.83514,11068049018.9477,5991465410.84078,17059514429.7885
"1973-03-01",4199.35,4198,1279.96188,1279.5504,2432702278.17427,1384146002.05076,11362359342.9757,6116777876.48829,17479137219.464
"1973-04-01",4200.15,4198.5,1280.20572,1279.7028,2575570083.77602,1443185118.07913,11973158094.9448,6334068092.56501,18307226187.5098
"1973-05-01",4200.35,4198.8,1280.26668,1279.79424,2617684076.53516,1464954291.99948,12132882511.5559,6467661706.8859,18600544218.4418
"1973-06-01",4200.45,4198.8,1280.29716,1279.79424,2638741072.9148,1464954291.99948,12212744719.8618,6467661706.8859,18680406426.7477
"1973-07-01",4200.15,4198.6,1280.20572,1279.73328,2575570083.77602,1450441509.3859,11973158094.9448,6378599297.33853,18351757392.2833
"1973-08-01",4199.7,4198.4,1280.06856,1279.67232,2491262039.68955,1431377294.8734,11625234401.5129,6290610049.34947,17915844450.8624
"1973-09-01",4199.15,4198,1279.90092,1279.5504,2401487084.61346,1384146002.05076,11214641825.791,6116777876.48829,17331419702.2793
"1973-10-01",4199.2,4197.8,1279.91616,1279.48944,2409290883.00363,1373504741.24036,11251571205.087,6033236232.72339,17284807437.8104
"1973-11-01",4199.2,4197.6,1279.91616,1279.42848,2409290883.00363,1362863480.42996,11251571205.087,5949694588.95848,17201265794.0455
"1973-12-01",4199.35,4197.8,1279.96188,1279.48944,2432702278.17427,1373504741.24036,11362359342.9757,6033236232.72339,17395595575.6991
"1974-01-01",4199.6,4198.1,1280.03808,1279.58088,2473687856.51722,1395953825.2564,11549190941.1887,6160235919.7035,17709426860.8922
