"Date" "Slevel_ft" "Slevel_m" "Sarea_m2" "Svol_m3" "Nlevel_ft" "Nlevel_m" "Narea_m2" "Nvol_m3" "TotalArea_m2" "TotalVol_m3"
2008-02-11 4195.43 1278.767064 1876297265.81131 8774958115.19184 4194.84 1278.587232 1134177565.94633 4901175105.27205 3010474831.75765 13676133220.4639
2008-02-12 4195.42 1278.764016 1875237393.65897 8769296958.81664 4194.83 1278.584184 1132855937.75139 4897825128.2367 3008093331.41036 13667122087.0533
2008-02-13 4195.59 1278.815832 1898909251.16548 8867037208.79584 4194.97 1278.626856 1151358732.48042 4944724806.73114 3050267983.6459 13811762015.527
2008-02-14 4195.71 1278.852408 1919166424.88273 8936971874.10014 4195.04 1278.648192 1157620294.27362 4969039632.28895 3076786719.15635 13906011506.3891
2008-02-15 4195.49 1278.785352 1882656498.72527 8808925053.44263 4194.85 1278.59028 1135499194.14128 4904525082.3074 3018155692.86655 13713450135.75
2008-02-16 4195.48 1278.782304 1881596626.57285 8803263897.067 4194.83 1278.584184 1132855937.75139 4897825128.2367 3014452564.32424 13701089025.3037
2008-02-17 4195.49 1278.785352 1882656498.72527 8808925053.44263 4194.85 1278.59028 1135499194.14128 4904525082.3074 3018155692.86655 13713450135.75
2008-02-18 4195.5 1278.7884 1883716370.87761 8814586209.81783 4194.87 1278.596376 1138142450.53107 4911225036.37786 3021858821.40868 13725811246.1957
2008-02-19 4195.49 1278.785352 1882656498.72527 8808925053.44263 4194.88 1278.599424 1139464078.72601 4914575013.41321 3022120577.45128 13723500066.8558
2008-02-20 4195.5 1278.7884 1883716370.87761 8814586209.81783 4194.89 1278.602472 1140785706.92106 4917924990.44881 3024502077.79867 13732511200.2666
2008-02-21 4195.5 1278.7884 1883716370.87761 8814586209.81783 4194.88 1278.599424 1139464078.72601 4914575013.41321 3023180449.60362 13729161223.231
2008-02-22 4195.53 1278.797544 1888780664.30686 8832069876.14369 4194.88 1278.599424 1139464078.72601 4914575013.41321 3028244743.03287 13746644889.5569
2008-02-23 4195.54 1278.800592 1890468762.11665 8837897764.91912 4194.87 1278.596376 1138142450.53107 4911225036.37786 3028611212.64772 13749122801.297
2008-02-24 4195.52 1278.794496 1887092566.49719 8826241987.36869 4194.9 1278.60552 1142107335.11581 4921274967.48367 3029199901.613 13747516954.8524
2008-02-25 4195.58 1278.812784 1897221153.35569 8861209320.02041 4194.92 1278.611616 1144750591.50579 4927974921.55462 3041971744.86148 13789184241.575
2008-02-26 4195.59 1278.815832 1898909251.16548 8867037208.79584 4194.96 1278.623808 1150037104.28548 4941374829.69579 3048946355.45096 13808412038.4916
2008-02-27 4195.6 1278.81888 1900597348.9754 8872865097.5717 4194.98 1278.629904 1152680360.67527 4948074783.76624 3053277709.65067 13820939881.3379
2008-02-28 4195.61 1278.821928 1902285446.78507 8878692986.3467 4194.99 1278.632952 1154001988.87021 4951424760.8016 3056287435.65528 13830117747.1483
2008-02-29 4195.62 1278.824976 1903973544.59486 8884520875.12213 4194.99 1278.632952 1154001988.87021 4951424760.8016 3057975533.46507 13835945635.9237
2008-03-01 4195.77 1278.870696 1929295011.74148 8971939206.75272 4195.1 1278.66648 1161065310.08628 4990436973.96669 3090360321.82776 13962376180.7194
2008-03-02 4195.87 1278.901176 1946175989.83915 9030218094.50616 4195.13 1278.675624 1162787817.99263 5001135644.80569 3108963807.83178 14031353739.3119
2008-03-03 4195.71 1278.852408 1919166424.88273 8936971874.10014 4194.92 1278.611616 1144750591.50579 4927974921.55462 3063917016.38853 13864946795.6548
2008-03-04 4195.87 1278.901176 1946175989.83915 9030218094.50616 4195.12 1278.672576 1162213648.69047 4997569421.19242 3108389638.52962 14027787515.6986
2008-03-05 4195.8 1278.87984 1934359305.17073 8989422873.07858 4195.02 1278.642096 1156471955.66943 4961907185.06322 3090831260.84016 13951330058.1418
2008-03-06 4195.79 1278.876792 1932671207.36094 8983594984.30315 4194.99 1278.632952 1154001988.87021 4951424760.8016 3086673196.23115 13935019745.1047
2008-03-07 4195.77 1278.870696 1929295011.74148 8971939206.75272 4194.97 1278.626856 1151358732.48042 4944724806.73114 3080653744.2219 13916664013.4839
2008-03-08 4195.84 1278.892032 1941111696.4099 9012734428.1803 4195.01 1278.639048 1155897786.36732 4958340961.45022 3097009482.77722 13971075389.6305
2008-03-09 4195.85 1278.89508 1942799794.21969 9018562316.95573 4195.01 1278.639048 1155897786.36732 4958340961.45022 3098697580.58701 13976903278.4059
2008-03-10 4195.86 1278.898128 1944487892.02936 9024390205.73073 4195.01 1278.639048 1155897786.36732 4958340961.45022 3100385678.39667 13982731167.1809
2008-03-11 4195.86 1278.898128 1944487892.02936 9024390205.73073 4195.01 1278.639048 1155897786.36732 4958340961.45022 3100385678.39667 13982731167.1809
2008-03-12 4195.89 1278.907272 1949552185.45873 9041873872.05702 4195.02 1278.642096 1156471955.66943 4961907185.06322 3106024141.12816 14003781057.1202
2008-03-13 4195.9 1278.91032 1951240283.2684 9047701760.83202 4195.1 1278.66648 1161065310.08628 4990436973.96669 3112305593.35468 14038138734.7987
2008-03-14 4195.97 1278.931656 1963056967.93694 9088496982.26003 4195.14 1278.678672 1163361987.29474 5004701868.41869 3126418955.23168 14093198850.6787
2008-03-15 4195.97 1278.931656 1963056967.93694 9088496982.26003 4195.12 1278.672576 1162213648.69047 4997569421.19242 3125270616.62741 14086066403.4525
2008-03-16 4196.2 1279.00176 1997834720.41236 9228149324.60423 4195.25 1278.7122 1169677849.61794 5043930328.16117 3167512570.0303 14272079652.7654
2008-03-17 4196.05 1278.95604 1975549626.12771 9136522817.59036 4195.13 1278.675624 1162787817.99263 5001135644.80569 3138337444.12033 14137658462.3961
2008-03-18 4195.93 1278.919464 1956304576.69777 9065185427.15831 4195.02 1278.642096 1156471955.66943 4961907185.06322 3112776532.36721 14027092612.2215
2008-03-19 4195.95 1278.92556 1959680772.31723 9076841204.70874 4195.06 1278.654288 1158768632.87785 4976172079.51495 3118449405.19509 14053013284.2237
2008-03-20 4196.02 1278.946896 1971092607.27084 9118197516.18786 4195.12 1278.672576 1162213648.69047 4997569421.19242 3133306255.96131 14115766937.3803
2008-03-21 4196.03 1278.949944 1972578280.22306 9124305949.98839 4195.16 1278.684768 1164510325.89893 5011834315.64443 3137088606.12199 14136140265.6328
2008-03-22 4196.06 1278.959088 1977035299.08014 9142631251.39181 4195.16 1278.684768 1164510325.89893 5011834315.64443 3141545624.97907 14154465567.0362
2008-03-23 4196 1278.9408 1968121261.36619 9105980648.58589 4195.11 1278.669528 1161639479.38835 4994003197.57942 3129760740.75454 14099983846.1653
2008-03-24 4196.01 1278.943848 1969606934.31852 9112089082.38688 4195.11 1278.669528 1161639479.38835 4994003197.57942 3131246413.70687 14106092279.9663
2008-03-25 4196.02 1278.946896 1971092607.27084 9118197516.18786 4195.16 1278.684768 1164510325.89893 5011834315.64443 3135602933.16977 14130031831.8323
2008-03-26 4196.11 1278.974328 1984463663.84155 9173173420.39582 4195.21 1278.700008 1167381172.40947 5029665433.70916 3151844836.25102 14202838854.105
2008-03-27 4196.13 1278.980424 1987435009.7462 9185390287.99779 4195.32 1278.733536 1173697034.73267 5068893893.45164 3161132044.47886 14254284181.4494
2008-03-28 4196.02 1278.946896 1971092607.27084 9118197516.18786 4195.15 1278.68172 1163936156.59682 5008268092.03143 3135028763.86766 14126465608.2193
2008-03-29 4196.12 1278.977376 1985949336.79387 9179281854.19681 4195.23 1278.706104 1168529511.01366 5036797880.9349 3154478847.80753 14216079735.1317
2008-03-30 4196.02 1278.946896 1971092607.27084 9118197516.18786 4195.13 1278.675624 1162787817.99263 5001135644.80569 3133880425.26347 14119333160.9936
2008-03-31 4196.13 1278.980424 1987435009.7462 9185390287.99779 4195.26 1278.715248 1170252018.92005 5047496551.77417 3157687028.66625 14232886839.772
2008-04-01 4196 1278.9408 1968121261.36619 9105980648.58589 4195.08 1278.660384 1159916971.48204 4983304526.74069 3128038232.84824 14089285175.3266
2008-04-02 4196 1278.9408 1968121261.36619 9105980648.58589 4195.09 1278.663432 1160491140.78416 4986870750.35369 3128612402.15035 14092851398.9396
2008-04-03 4196.06 1278.959088 1977035299.08014 9142631251.39181 4195.19 1278.693912 1166232833.80524 5022532986.48316 3143268132.88538 14165164237.875
2008-04-04 4196.03 1278.949944 1972578280.22306 9124305949.98839 4195.11 1278.669528 1161639479.38835 4994003197.57942 3134217759.61141 14118309147.5678
2008-04-05 4196.1 1278.97128 1982977990.88933 9167064986.59529 4195.22 1278.703056 1167955341.71159 5033231657.32216 3150933332.60092 14200296643.9175
2008-04-06 4196.03 1278.949944 1972578280.22306 9124305949.98839 4195.16 1278.684768 1164510325.89893 5011834315.64443 3137088606.12199 14136140265.6328
2008-04-07 4196.06 1278.959088 1977035299.08014 9142631251.39181 4195.23 1278.706104 1168529511.01366 5036797880.9349 3145564810.0938 14179429132.3267
2008-04-08 4196.02 1278.946896 1971092607.27084 9118197516.18786 4195.16 1278.684768 1164510325.89893 5011834315.64443 3135602933.16977 14130031831.8323
2008-04-09 4196.15 1278.98652 1990406355.65074 9197607155.59931 4195.3 1278.72744 1172548696.12848 5061761446.2259 3162955051.77921 14259368601.8252
2008-04-10 4196.09 1278.968232 1981492317.93701 9160956552.79431 4195.25 1278.7122 1169677849.61794 5043930328.16117 3151170167.55494 14204886880.9555
2008-04-11 4196.09 1278.968232 1981492317.93701 9160956552.79431 4195.29 1278.724392 1171974526.82636 5058195222.6129 3153466844.76337 14219151775.4072
2008-04-12 4196 1278.9408 1968121261.36619 9105980648.58589 4195.2 1278.69696 1166807003.10736 5026099210.09616 3134928264.47355 14132079858.6821
2008-04-13 4196 1278.9408 1968121261.36619 9105980648.58589 4195.2 1278.69696 1166807003.10736 5026099210.09616 3134928264.47355 14132079858.6821
2008-04-14 4195.93 1278.919464 1956304576.69777 9065185427.15831 4195.14 1278.678672 1163361987.29474 5004701868.41869 3119666563.99252 14069887295.577
2008-04-15 4196.08 1278.965184 1980006644.98468 9154848118.99332 4195.38 1278.751824 1177142050.54537 5090291235.12964 3157148695.53005 14245139354.123
2008-04-16 4196.04 1278.952992 1974063953.17538 9130414383.78938 4195.24 1278.709152 1169103680.31578 5040364104.5479 3143167633.49116 14170778488.3373
